"","lower","r","upper","p"
"CA-AMn",-0.616419134177742,0.156028497588445,0.775442277802291,0.712160010437527
"IAn-AMn",-0.873594637276078,-0.439440806093936,0.384206196959596,0.275977869727876
"MAn-AMn",-0.914232096259063,-0.589037531064288,0.197693976148991,0.124432344741022
"Gpe-AMn",-0.70357426865934,0.00217897148141062,0.705768219483928,0.995914441404306
"Gpi-AMn",-0.544082272945429,0.260445455959525,0.815458258147735,0.533298505241044
"SbInn-AMn",-0.951327821183934,-0.748289310749456,-0.092270595166846,0.0327220410444079
"MGCn-AMn",-0.965127978542088,-0.814175339224611,-0.256883483432269,0.0138890715943071
"MSn-AMn",-0.957008886982366,-0.774935833881344,-0.154790124361031,0.0239065809806033
"DBn-AMn",-0.978839095969081,-0.883726842294689,-0.474614711030543,0.00359513752262324
"TnS-AMn",-0.814130879288956,-0.256760313064758,0.546856473677952,0.539314866857176
"BNST-AMn",-0.827205364645568,-0.293778822405582,0.518163208334913,0.48003769638473
"VALCT-AMn",0.200146322254113,0.79297928073742,0.960778050732965,0.0188796628447235
"VMT-AMn",-0.0509338290049986,0.678076407961093,0.935666984226506,0.064564963231128
"VPLT-AMn",-0.195055797892964,0.590826560515047,0.914681476348161,0.12300644964683
"VPMT-AMn",-0.604181433628205,0.174996164268733,0.783100952162657,0.678519427918762
"PTTn-AMn",-0.523993416678567,0.286449125674845,0.824661668353962,0.491564721130854
"MGC-AMn",-0.868213147994737,-0.421285096054963,0.403036576251378,0.298576780194134
"dLGC-AMn",-0.95372719970226,-0.759464016695996,-0.117874337387988,0.0288174526611034
"LPT-AMn",-0.847479798399138,-0.354531969025478,0.466748244255161,0.388854824468229
"PCT-AMn",-0.567005673345271,0.229274824916342,0.80404346594858,0.584937467994908
"PlnT-AMn",-0.462539497507269,0.359215936363527,0.848985405022739,0.382166997144482
"EnT-AMn",-0.532469938657055,0.275620545679692,0.820863455399738,0.508787480057423
"AVT-AMn",0.0860749176653525,0.745528090074483,0.950731128356166,0.0337340844461434
"AMn-AMn",NA,1,NA,0
"IADT-AMn",0.0810629678755058,0.743277732371135,0.950243704675154,0.0345728864540137
"IMDT-AMn",-0.350270954880265,0.470544906995168,0.882573790612663,0.239308551015758
"MDT-AMn",-0.25588843085674,0.547510261185884,0.903571251631197,0.160125639468572
"SMT-AMn",-0.208202721564824,0.58183385741173,0.912414498309381,0.130267287809893
"pRE-AMn",-0.433804296187547,0.390126439679627,0.85872574932253,0.339344921420217
"PVT-AMn",-0.640515774379994,0.116937276206682,0.759061605727873,0.782733205575297
"PT-AMn",-0.608764411009652,0.16795993813448,0.780281257127924,0.69094779123639
"RE-AMn",-0.459291154665811,0.36280297088379,0.850133063499825,0.377080167097057
"XiT-AMn",-0.109561776917679,0.644900863383624,0.927896587866749,0.0842456094370009
"Rh-AMn",-0.319104278895118,0.497420739722064,0.890097607709257,0.209760913366492
"CMT-AMn",-0.0495974681820377,0.678799498059141,0.935833610205905,0.0641700207158946
"PCn-AMn",-0.276268322938039,0.531967381261195,0.899464381946865,0.17476193554689
